Average,BestPic_Gross,Best_Picture,DirectorName,No_Of_Movies,Total_Gross,_id
$23.2,$23.2,Sanctum,Alister Grierson,1,$23.2,5cbf57e7f1b3f84eb09ba549
$6.9,$18.1,Call Me by Your Name,Luca Guadagnino,4,$27.6,5cbf57e7f1b3f84eb09ba54a
$9.1,$18.7,Best in Show,Christopher Guest,5,$45.7,5cbf57e7f1b3f84eb09ba54b
$7.2,$24.1,An Inconvenient Truth,Davis Guggenheim,6,$42.9,5cbf57e7f1b3f84eb09ba54c
$182.8,$389.8,Guardians of the Galaxy 2,James Gunn,4,$731.1,5cbf57e7f1b3f84eb09ba54d
$50.2,$50.2,The Book of Life,Jorge R. Gutierrez,1,$50.2,5cbf57e7f1b3f84eb09ba54e
$30.5,$129.8,An Officer and a Gentleman,Taylor Hackford,14,$426.8,5cbf57e7f1b3f84eb09ba54f
$27.7,$72.0,1408,Mikael Hafstrom,6,$166.3,5cbf57e7f1b3f84eb09ba550
$20.9,$54.6,Crash,Paul Haggis,4,$83.5,5cbf57e7f1b3f84eb09ba551
$80.7k,$80.7k,Waking Sleeping Beauty,Don Hahn,1,$80.7k,5cbf57e7f1b3f84eb09ba552
$124.6,$222.5,Big Hero 6,Don Hall,2,$249.2,5cbf57e7f1b3f84eb09ba553
$9.5,$9.5,Thank You for Your Service (2017),Jason Dean Hall,1,$9.5,5cbf57e7f1b3f84eb09ba554
$90.3,$90.3,Planes,Klay Hall,1,$90.3,5cbf57e7f1b3f84eb09ba555
$36.6,$80.0,Dear John,Lasse Hallstrom,16,$585.7,5cbf57e7f1b3f84eb09ba556
$1.1,$3.2,Carrington,Christopher Hampton,3,$3.4,5cbf57e7f1b3f84eb09ba557
$90.0,$256.0,The Blind Side,John Lee Hancock,5,$450.1,5cbf57e7f1b3f84eb09ba558
$1.9,$6.7,Amour,Michael Haneke,8,$15.4,5cbf57e7f1b3f84eb09ba559
$30.7,$35.6,Larry Crowne,Tom Hanks,2,$61.5,5cbf57e7f1b3f84eb09ba55a
$37.0,$116.8,8 Mile,Curtis Hanson,11,$406.8,5cbf57e7f1b3f84eb09ba55b
$37.5,$192.8,Twilight,Catherine Hardwicke,8,$300.1,5cbf57e7f1b3f84eb09ba55c
$5.9,$15.8,The Gospel,Rob Hardy,3,$17.8,5cbf57e7f1b3f84eb09ba55d
$760k,$1.3,Wetherby,David Hare,3,$2.3,5cbf57e7f1b3f84eb09ba55e
$32.9,$117.5,Die Hard 2,Renny Harlin,16,$526.7,5cbf57e7f1b3f84eb09ba55f
$26.5,$26.5,Woman in Black 2,Tom Harper,1,$26.5,5cbf57e7f1b3f84eb09ba560
$229k,$229k,Imaginary Heroes,Dan Harris,1,$229k,5cbf57e7f1b3f84eb09ba561
$14.4,$20.2,Appaloosa,Ed Harris,2,$28.8,5cbf57e7f1b3f84eb09ba562
$491k,$744k,Seymour: An Introduction,Ethan Hawke,3,$1.5,5cbf57e7f1b3f84eb09ba563
$73.6,$154.5,Horton Hears a Who!,Jimmy Hayward,3,$220.8,5cbf57e7f1b3f84eb09ba564
$15.0,$44.7,The Artist,Michel Hazanavicius,3,$45.1,5cbf57e7f1b3f84eb09ba565
$634k,$819k,Sleeping with Other People,Leslye Headland,2,$1.3,5cbf57e7f1b3f84eb09ba566
$42.7,$140.1,Look Who's Talking,Amy Heckerling,9,$384.0,5cbf57e7f1b3f84eb09ba567
$26.4,$51.9,The Odd Life of Timothy Green,Peter Hedges,4,$105.7,5cbf57e7f1b3f84eb09ba568
$48.5,$95.0,42,Brian Helgeland,5,$242.6,5cbf57e7f1b3f84eb09ba569
$19.7,$24.4,15 Minutes,John Herzfeld,3,$59.2,5cbf57e7f1b3f84eb09ba56a
$1.8,$5.5,Rescue Dawn,Werner Herzog,10,$17.9,5cbf57e7f1b3f84eb09ba56b
$28.7,$75.4,Garfield,Peter Hewitt,6,$171.9,5cbf57e7f1b3f84eb09ba56c
$1.1,$1.7,Factory Girl,George Hickenlooper,5,$5.7,5cbf57e7f1b3f84eb09ba56d
$25.6,$60.5,The Lucky One,Scott Hicks,7,$178.9,5cbf57e7f1b3f84eb09ba56e
$7.4,$7.4,Mid90s,Jonah Hill,1,$7.4,5cbf57e7f1b3f84eb09ba56f
$77.6,$217.3,Alvin and the Chipmunks,Tim Hill,5,$387.8,5cbf57e7f1b3f84eb09ba570
$23.2,$80.8,Another 48 HRS.,Walter Hill,17,$395.0,5cbf57e7f1b3f84eb09ba571
$15.0,$37.4,Lawless,John Hillcoat,4,$60.1,5cbf57e7f1b3f84eb09ba572
$35.5,$56.1,Primal Fear,Gregory Hoblit,6,$213.1,5cbf57e7f1b3f84eb09ba573
$18.4,$18.4,Quartet,Dustin Hoffman,1,$18.4,5cbf57e7f1b3f84eb09ba574
$15.1,$46.2,One Fine Day,Michael Hoffman,10,$151.1,5cbf57e7f1b3f84eb09ba575
$542k,$542k,Jack Goes Boating,Philip Seymour Hoffman,1,$542k,5cbf57e7f1b3f84eb09ba576
$58.7,$127.1,My Best Friend's Wedding,P.J. Hogan,4,$235.0,5cbf57e7f1b3f84eb09ba577
$8.1,$17.6,Enough Said,Nicole Holofcener,5,$40.5,5cbf57e7f1b3f84eb09ba578
$74.8,$148.8,Les Miserables,Tom Hooper,4,$299.2,5cbf57e7f1b3f84eb09ba579
$39.0k,$69.1k,August (1996),Anthony Hopkins,2,$78.0k,5cbf57e7f1b3f84eb09ba57a
$27.5,$69.1,Lost in Space,Stephen Hopkins,9,$247.9,5cbf57e7f1b3f84eb09ba57b
$84.4,$260.0,The Grinch,Ron Howard,25,"$2,109.8",5cbf57e7f1b3f84eb09ba57c
$35.8,$94.8,The Book of Eli,Albert Hughes,6,$214.6,5cbf57e7f1b3f84eb09ba57d
$33.1,$94.8,The Book of Eli,Allen Hughes,6,$198.5,5cbf57e7f1b3f84eb09ba57e
$41.2,$70.1,Ferris Bueller's Day Off,John Hughes,8,$329.5,5cbf57e7f1b3f84eb09ba57f
$38.3,$75.5,The Hitman's Bodyguard,Patrick Hughes,3,$114.8,5cbf57e7f1b3f84eb09ba580
$3.7,$3.7,Then She Found Me,Helen Hunt,1,$3.7,5cbf57e7f1b3f84eb09ba581
$6.9,$20.7,Little Black Book,Nick Hurran,3,$20.8,5cbf57e7f1b3f84eb09ba582
$47.6,$57.0,American Reunion,Jon Hurwitz,2,$95.1,5cbf57e7f1b3f84eb09ba583
$22.8,$66.9,End of Days,Peter Hyams,15,$341.8,5cbf57e7f1b3f84eb09ba584
$6.6,$18.2,Sugar Hill,Leon Ichaso,4,$26.5,5cbf57e7f1b3f84eb09ba585
$660k,$1.7,Mrs. Palfrey at the Claremont,Dan Ireland,4,$2.6,5cbf57e7f1b3f84eb09ba586
$53.9,$85.4,Power Rangers,Dean Israelite,2,$107.7,5cbf57e7f1b3f84eb09ba587
$7.4,$26.1,Howards End,James Ivory,14,$103.8,5cbf57e7f1b3f84eb09ba588
$165.6,$377.8,Return of the King,Peter Jackson,13,"$2,152.6",5cbf57e7f1b3f84eb09ba589
$984k,$2.2,The Lovers,Azazel Jacobs,3,$3.0,5cbf57e7f1b3f84eb09ba58a
$33.5,$66.0,Magic Mike XXL,Gregory Jacobs,2,$66.9,5cbf57e7f1b3f84eb09ba58b
$5.0k,$5.0k,Bringing Up Bobby,Famke Janssen,1,$5.0k,5cbf57e7f1b3f84eb09ba58c
$1.9,$3.1,Capturing the Friedmans,Andrew Jarecki,2,$3.7,5cbf57e7f1b3f84eb09ba58d
$7.9,$7.9,Arbitrage,Nicholas Jarecki,1,$7.9,5cbf57e7f1b3f84eb09ba58e
$2.7,$13.7,Broken Flowers,Jim Jarmusch,12,$32.6,5cbf57e7f1b3f84eb09ba58f
$21.4,$27.9,Moonlight,Barry Jenkins,2,$42.8,5cbf57e7f1b3f84eb09ba590
$223.5,$412.6,Wonder Woman,Patty Jenkins,2,$447.0,5cbf57e7f1b3f84eb09ba591
$107.8,$270.4,Sing,Garth Jennings,3,$323.3,5cbf57e7f1b3f84eb09ba592
$145.0,$267.7,Shrek,Vicky Jenson,3,$434.9,5cbf57e7f1b3f84eb09ba593
$13.2,$47.8,Alien Resurrection,Jean-Pierre Jeunet,7,$92.5,5cbf57e7f1b3f84eb09ba594
$1.7,$3.2,Before I Go To Sleep,Rowan Joffe,2,$3.5,5cbf57e7f1b3f84eb09ba595
$76.6,$116.9,S.W.A.T.,Clark Johnson,2,$153.2,5cbf57e7f1b3f84eb09ba596
$3.0,$5.3,The Skeleton Twins,Craig Johnson,2,$5.9,5cbf57e7f1b3f84eb09ba597
$53.9,$115.8,Ghost Rider,Mark Steven Johnson,5,$269.3,5cbf57e7f1b3f84eb09ba598
$173.1,$620.2,Star Wars: The Last Jedi,Rian Johnson,4,$692.3,5cbf57e7f1b3f84eb09ba599
$112.4,$177.4,Home,Tim Johnson,4,$449.7,5cbf57e7f1b3f84eb09ba59a
$90.1,$181.2,Jurassic Park III,Joe Johnston,9,$811.2,5cbf57e7f1b3f84eb09ba59b
$201.1,$201.1,Wreck-It Ralph 2,Phil Johnston,1,$201.1,5cbf57e7f1b3f84eb09ba59c
$38.8,$115.6,Unbroken,Angelina Jolie,3,$116.5,5cbf57e7f1b3f84eb09ba59d
$35.7,$54.7,Source Code,Duncan Jones,3,$107.1,5cbf57e7f1b3f84eb09ba59e
$36.4,$59.7,My Big Fat Greek Wedding 2,Kirk Jones,5,$182.0,5cbf57e7f1b3f84eb09ba59f
$3.7,$5.0,The Three Burials of Melquiades Estrada,Tommy Lee Jones,2,$7.5,5cbf57e7f1b3f84eb09ba5a0
$37.0,$77.2,Where the Wild Things Are,Spike Jonze,4,$148.2,5cbf57e7f1b3f84eb09ba5a1
$49.9,$104.0,Paranormal Activity 3,Henry Joost,4,$199.8,5cbf57e7f1b3f84eb09ba5a2
$16.8,$105.3,Interview with the Vampire,Neil Jordan,17,$286.2,5cbf57e7f1b3f84eb09ba5a3
$21.3,$63.1,Beavis and Butt-Head Do America,Mike Judge,4,$85.2,5cbf57e7f1b3f84eb09ba5a4
$2.2,$3.9,Me and You and Everyone We Know,Miranda July,2,$4.5,5cbf57e7f1b3f84eb09ba5a5
$1.3,$6.6,The Grandmaster,Wong Kar Wai,10,$13.1,5cbf57e7f1b3f84eb09ba5a6
$86.4,$404.6,Jumanji (2017),Jake Kasdan,7,$605.1,5cbf57e7f1b3f84eb09ba5a7
$27.1,$56.4,The Big Chill,Lawrence Kasdan,11,$297.7,5cbf57e7f1b3f84eb09ba5a8
$18.7,$18.7,The Choice,Ross Katz,1,$18.7,5cbf57e7f1b3f84eb09ba5a9
$3.4,$3.8,Anomalisa,Charlie Kaufman,2,$6.8,5cbf57e7f1b3f84eb09ba5aa
$15.6,$21.2,The Right Stuff,Philip Kaufman,2,$31.2,5cbf57e7f1b3f84eb09ba5ab
$145k,$365k,Glen Campbell... I'll Be Me,James Keach,4,$581k,5cbf57e7f1b3f84eb09ba5ac
$22.0,$36.1,Hanging Up,Diane Keaton,2,$44.0,5cbf57e7f1b3f84eb09ba5ad
$348k,$348k,The Merry Gentleman,Michael Keaton,1,$348k,5cbf57e7f1b3f84eb09ba5ae
$43.0,$73.7,Monster House,Gil Kenan,3,$129.0,5cbf57e7f1b3f84eb09ba5af
$36.5,$67.8,War Room,Alex Kendrick,4,$145.9,5cbf57e7f1b3f84eb09ba5b0
$21.7,$30.6,Open Water,Chris Kentis,2,$43.4,5cbf57e7f1b3f84eb09ba5b1
$102.9,$290.5,The Empire Strikes Back,Irvin Kershner,4,$411.6,5cbf57e7f1b3f84eb09ba5b2
$45.1,$69.6,Ya-Ya Sisterhood,Callie Khouri,2,$90.3,5cbf57e7f1b3f84eb09ba5b3
$19.2,$40.2,Bridget Jones 2,Beeban Kidron,5,$96.1,5cbf57e7f1b3f84eb09ba5b4
$2.6,$12.1,The Last Stand,Jee-woon Kim,5,$12.9,5cbf57e7f1b3f84eb09ba5b5
$124.0,$152.6,Sex and the City,Michael Patrick King,2,$248.0,5cbf57e7f1b3f84eb09ba5b6
$58.6,$76.3,Paddington,Paul King,2,$117.2,5cbf57e7f1b3f84eb09ba5b7
$83.2,$83.2,Smallfoot,Karey Kirkpatrick,1,$83.2,5cbf57e7f1b3f84eb09ba5b8
$11.5,$11.5,The Words,Brian Klugman,1,$11.5,5cbf57e7f1b3f84eb09ba5b9
$3.3,$8.5,Serenity (2019),Steven Knight,3,$10.0,5cbf57e7f1b3f84eb09ba5ba
$87.6,$127.2,Bumblebee,Travis Knight,2,$175.2,5cbf57e7f1b3f84eb09ba5bb
$19.0,$48.0,Secret Window,David Koepp,6,$114.1,5cbf57e7f1b3f84eb09ba5bc
$48.8,$48.8,I Feel Pretty,Abby Kohn,1,$48.8,5cbf57e7f1b3f84eb09ba5bd
$11.7,$11.7,Knockaround Guys,Brian Koppelman,1,$11.7,5cbf57e7f1b3f84eb09ba5be
$43.4,$75.6,2 Guns,Baltasar Kormakur,5,$217.1,5cbf57e7f1b3f84eb09ba5bf
$93.2,$172.1,Tron Legacy,Joseph Kosinski,3,$279.5,5cbf57e7f1b3f84eb09ba5c0
$3.9,$8.3,The Cooler,Wayne Kramer,4,$15.6,5cbf57e7f1b3f84eb09ba5c1
$63.0,$188.0,A Quiet Place,John Krasinski,3,$189.1,5cbf57e7f1b3f84eb09ba5c2
$35.0,$60.5,2001: A Space Odyssey,Stanley Kubrick,7,$245.2,5cbf57e7f1b3f84eb09ba5c3
$31.9,$45.6,College Road Trip,Roger Kumble,5,$159.4,5cbf57e7f1b3f84eb09ba5c4
$46.3,$80.2,The Mummy (2017),Alex Kurtzman,2,$92.7,5cbf57e7f1b3f84eb09ba5c5
$9.1,$25.9,Aeon Flux,Karyn Kusama,5,$45.4,5cbf57e7f1b3f84eb09ba5c6
$27.1,$94.0,He's Just Not That Into You,Ken Kwapis,9,$244.0,5cbf57e7f1b3f84eb09ba5c7
$16.6,$42.7,Death at a Funeral (2010),Neil LaBute,9,$149.2,5cbf57e7f1b3f84eb09ba5c8
$20.5,$53.7,P.S. I Love You,Richard LaGravenese,6,$122.8,5cbf57e7f1b3f84eb09ba5c9
$16.1,$57.5,Pet Sematary,Mary Lambert,5,$80.6,5cbf57e7f1b3f84eb09ba5ca
$12.0,$34.5,Concussion (2015),Peter Landesman,3,$36.0,5cbf57e7f1b3f84eb09ba5cb
$44.8,$141.6,National Lampoon's Animal House,John Landis,15,$672.0,5cbf57e7f1b3f84eb09ba5cc
$30.0,$55.7,Happy Death Day,Christopher B. Landon,4,$119.9,5cbf57e7f1b3f84eb09ba5cd
$4.3,$14.0,Jackie,Pablo Larrain,4,$17.3,5cbf57e7f1b3f84eb09ba5ce
$207.2,$245.9,Toy Story 2,John Lasseter,5,"$1,036.0",5cbf57e7f1b3f84eb09ba5cf
$12.8,$12.8,Silent House,Laura Lau,1,$12.8,5cbf57e7f1b3f84eb09ba5d0
$42.3k,$42.3k,Breathe,Melanie Laurent,1,$42.3k,5cbf57e7f1b3f84eb09ba5d1
$211.6,$424.7,Catching Fire,Francis Lawrence,7,"$1,481.5",5cbf57e7f1b3f84eb09ba5d2
$60.0,$140.5,Deep Impact,Mimi Leder,4,$239.9,5cbf57e7f1b3f84eb09ba5d3
$42.2,$132.2,Hulk,Ang Lee,13,$548.3,5cbf57e7f1b3f84eb09ba5d4
$4.6,$8.9,Battle of the Year,Benson Lee,2,$9.2,5cbf57e7f1b3f84eb09ba5d5
$400.7,$400.7,Frozen,Jennifer Lee,1,$400.7,5cbf57e7f1b3f84eb09ba5d6
$49.4,$115.2,Girls Trip,Malcolm D. Lee,10,$494.2,5cbf57e7f1b3f84eb09ba5d7
$5.7,$5.7,The Warrior's Way,Sngmoo Lee,1,$5.7,5cbf57e7f1b3f84eb09ba5d8
$19.5,$88.5,Inside Man,Spike Lee,22,$429.1,5cbf57e7f1b3f84eb09ba5d9
$16.5,$42.7,Because I Said So,Michael Lehman,9,$148.1,5cbf57e7f1b3f84eb09ba5da
$3.4,$13.4,Secrets & Lies,Mike Leigh,12,$41.3,5cbf57e7f1b3f84eb09ba5db
$139.8,$324.6,Deadpool 2,David Leitch,3,$419.3,5cbf57e7f1b3f84eb09ba5dc
$73.0,$139.2,The Santa Clause 2,Michael Lembeck,4,$291.8,5cbf57e7f1b3f84eb09ba5dd
$8.8k,$8.8k,Hell Baby,Thomas Lennon & Ben Garant,1,$8.8k,5cbf57e7f1b3f84eb09ba5de
$44.8,$84.3,Annabelle,John R. Leonetti,3,$134.5,5cbf57e7f1b3f84eb09ba5df
$64.3,$64.3,The Nut Job,Peter Lepeniotis,1,$64.3,5cbf57e7f1b3f84eb09ba5e0
$81.7,$163.2,Clash of the Titans,Louis Leterrier,6,$490.3,5cbf57e7f1b3f84eb09ba5e1
$9.3,$18.6,Man on a Ledge,Asger Leth,2,$18.7,5cbf57e7f1b3f84eb09ba5e2
$120.5,$198.4,Monsters Vs. Aliens,Rob Letterman,4,$482.1,5cbf57e7f1b3f84eb09ba5e3
$2.8,$2.8,The Pyramid,Gregory Levasseur,1,$2.8,5cbf57e7f1b3f84eb09ba5e4
$11.7,$11.7,Knockaround Guys,David Levien,1,$11.7,5cbf57e7f1b3f84eb09ba5e5
$38.5,$66.4,Warm Bodies,Jonathan Levine,5,$192.4,5cbf57e7f1b3f84eb09ba5e6
$36.9,$172.8,Rain Man,Barry Levinson,22,$812.7,5cbf57e7f1b3f84eb09ba5e7
$102.8,$250.9,Night at the Museum,Shawn Levy,11,"$1,130.3",5cbf57e7f1b3f84eb09ba5e8
$191.5,$191.5,Cars 2,Brad Lewis,1,$191.5,5cbf57e7f1b3f84eb09ba5e9
$86.1,$191.2,Ninja Turtles,Jonathan Liebesman,5,$430.5,5cbf57e7f1b3f84eb09ba5ea
$41.5k,$41.5k,Fat Kid Rules the World,Matthew Lillard,1,$41.5k,5cbf57e7f1b3f84eb09ba5eb
$63.6,$186.3,Mr. & Mrs. Smith,Doug Liman,9,$572.6,5cbf57e7f1b3f84eb09ba5ec
$105.7,$238.7,Fast & Furious 6,Justin Lin,8,$845.9,5cbf57e7f1b3f84eb09ba5ed
$4.9,$4.9,The Apparition,Todd Lincoln,1,$4.9,5cbf57e7f1b3f84eb09ba5ee
$203k,$203k,10 Years,Jamie Linden,1,$203k,5cbf57e7f1b3f84eb09ba5ef
$11.3,$81.3,School of Rock,Richard Linklater,18,$203.9,5cbf57e7f1b3f84eb09ba5f0
$12.4,$33.0,Tron,Steven Lisberger,3,$37.2,5cbf57e7f1b3f84eb09ba5f1
$11.4,$48.8,Firewall,Richard Loncraine,7,$79.8,5cbf57e7f1b3f84eb09ba5f2
$19.0,$47.7,Manchester by the Sea,Kenneth Lonergan,3,$56.9,5cbf57e7f1b3f84eb09ba5f3
$68.9,$106.8,Chicken Run,Peter Lord,2,$137.9,5cbf57e7f1b3f84eb09ba5f4
$178.2,$257.8,The LEGO Movie,Phil Lord,4,$712.8,5cbf57e7f1b3f84eb09ba5f5
$35.8,$35.8,Trouble with the Curve,Robert Lorenz,1,$35.8,5cbf57e7f1b3f84eb09ba5f6
$290.7,$474.5,The Phantom Menace,George Lucas,6,"$1,743.9",5cbf57e7f1b3f84eb09ba5f7
$70.4,$113.3,Bad Moms,Jon Lucas,3,$211.1,5cbf57e7f1b3f84eb09ba5f8
$30.8,$57.7,Takers,John Luessenhop,3,$92.5,5cbf57e7f1b3f84eb09ba5f9
$62.0,$144.8,The Great Gatsby,Baz Luhrmann,5,$309.9,5cbf57e7f1b3f84eb09ba5fa
$60.1,$96.5,Legally Blonde,Robert Luketic,7,$421.0,5cbf57e7f1b3f84eb09ba5fb
$5.6,$5.6,Cesar Chavez,Diego Luna,1,$5.6,5cbf57e7f1b3f84eb09ba5fc
$10.0,$18.2,Last Castle,Rod Lurie,5,$49.8,5cbf57e7f1b3f84eb09ba5fd
$31.8,$51.5,My Bloody Valentine 3-D,Patrick Lussier,3,$95.3,5cbf57e7f1b3f84eb09ba5fe
$10.9,$30.9,Dune,David Lynch,9,$98.1,5cbf57e7f1b3f84eb09ba5ff
$8.5,$37.0,State of Play,Kevin Macdonald,10,$84.8,5cbf57ecf1b3f84eb09ba600
$114.5,$218.8,Ted,Seth MacFarlane,3,$343.4,5cbf57ecf1b3f84eb09ba601
$47.9k,$58.3k,Rudderless,William H. Macy,2,$95.8k,5cbf57ecf1b3f84eb09ba602
$23.4,$100.3,Shakespeare in Love,John Madden,11,$257.5,5cbf57ecf1b3f84eb09ba603
$303k,$583k,W.E.,Madonna,2,$606k,5cbf57ecf1b3f84eb09ba604
$31.9,$71.5,Bridget Jones's Diary,Sharon Maguire,3,$95.8,5cbf57ecf1b3f84eb09ba605
$8.4,$36.4,Thin Red Line,Terrence Malick,8,$67.5,5cbf57ecf1b3f84eb09ba606
$6.0,$23.5,Heist,David Mamet,10,$60.0,5cbf57ecf1b3f84eb09ba607
$78.2,$226.3,Logan,James Mangold,10,$782.4,5cbf57ecf1b3f84eb09ba608
$47.6,$101.0,Collateral,Michael Mann,11,$524.1,5cbf57ecf1b3f84eb09ba609
$2.8,$2.8,The Identical,Dustin Marcellino,1,$2.8,5cbf57ecf1b3f84eb09ba60a
$62.3,$62.3,Underworld Awakening,Mars Marlind,1,$62.3,5cbf57ecf1b3f84eb09ba60b
$63.1,$81.6,Eight Below,Frank Marshall,4,$252.6,5cbf57ecf1b3f84eb09ba60c
$56.9,$178.4,Pretty Woman,Garry Marshall,18,"$1,023.4",5cbf57ecf1b3f84eb09ba60d
$58.2,$115.2,Big,Penny Marshall,7,$407.3,5cbf57ecf1b3f84eb09ba60e
$131.5,$241.1,Pirates of the Caribbean 4,Rob Marshall,6,$788.9,5cbf57ecf1b3f84eb09ba60f
$255k,$255k,Dean,Demetri Martin,1,$255k,5cbf57ecf1b3f84eb09ba610
$1.0,$1.0,A Home at the End of the World,Michael Mayer,1,$1.0,5cbf57ecf1b3f84eb09ba611
$12.9,$25.9,Superhero Movie,Craig Mazin,2,$25.9,5cbf57ecf1b3f84eb09ba612
$17.6,$45.1,Spotlight,Tom McCarthy,4,$70.4,5cbf57ecf1b3f84eb09ba613
$70.0,$70.0,Act of Valor,Mike McCoy,1,$70.0,5cbf57ecf1b3f84eb09ba614
$4.5,$5.4,The Guard,John Michael McDonagh,2,$9.0,5cbf57ecf1b3f84eb09ba615
$80.1,$125.3,Terminator Salvation,McG,6,$480.5,5cbf57ecf1b3f84eb09ba616
$7.0,$22.2,Emma,Douglas McGrath,5,$34.8,5cbf57ecf1b3f84eb09ba617
$182.7,$216.4,Madagascar 3,Tom McGrath,5,$913.4,5cbf57ecf1b3f84eb09ba618
$544k,$544k,American Pastoral,Ewan McGregor,1,$544k,5cbf57ecf1b3f84eb09ba619
$99.8,$148.2,Talladega Nights,Adam McKay,7,$698.6,5cbf57ecf1b3f84eb09ba61a
$25.1,$25.1,Killer Elite,Gary McKendry,1,$25.1,5cbf57ecf1b3f84eb09ba61b
$69.5,$69.5,The First Purge,Gerard McMurray,1,$69.5,5cbf57ecf1b3f84eb09ba61c
$15.0,$43.9,Soul Surfer,Sean McNamara,5,$74.9,5cbf57ecf1b3f84eb09ba61d
$125.3,$220.2,Mission: Impossible 6,Christopher McQuarrie,4,$501.3,5cbf57ecf1b3f84eb09ba61e
$25.8,$56.7,12 Years a Slave,Steve McQueen (II),4,$103.1,5cbf57ecf1b3f84eb09ba61f
$42.9,$70.5,V for Vendetta,James McTeigue,4,$171.5,5cbf57ecf1b3f84eb09ba620
$55.5,$122.0,Hunt for Red October,John McTiernan,11,$610.9,5cbf57ecf1b3f84eb09ba621
$4.5,$19.2,Species II,Peter Medak,6,$27.2,5cbf57ecf1b3f84eb09ba622
$74.4,$139.9,Taken 2,Olivier Megaton,4,$297.5,5cbf57ecf1b3f84eb09ba623
$106.9,$169.6,Hidden Figures,Theodore Melfi,2,$213.7,5cbf57ecf1b3f84eb09ba624
$119.1,$304.4,Skyfall,Sam Mendes,7,$834.0,5cbf57ecf1b3f84eb09ba625
$104.3,$182.8,What Women Want,Nancy Meyers,6,$625.6,5cbf57ecf1b3f84eb09ba626
$1.1,$1.1,The Rover,David Michod,2,$2.2,5cbf57ecf1b3f84eb09ba627
$38.8,$75.6,Moneyball,Bennett Miller,3,$116.5,5cbf57ecf1b3f84eb09ba628
$236.0,$322.7,Shrek the Third,Chris Miller,2,$472.0,5cbf57ecf1b3f84eb09ba629
$35.9,$74.1,Sin City,Frank Miller,3,$107.7,5cbf57ecf1b3f84eb09ba62a
$60.4,$198.0,Happy Feet,George Miller,10,$603.5,5cbf57ecf1b3f84eb09ba62b
$52.5,$52.5,No Good Deed,Sam Miller,1,$52.5,5cbf57ecf1b3f84eb09ba62c
$178.2,$257.8,The LEGO Movie,Chris Miller (II),4,$712.8,5cbf57ecf1b3f84eb09ba62d
$4.3,$5.8,Beginners,Mike Mills,3,$12.8,5cbf57ecf1b3f84eb09ba62e
$43.5,$95.6,Cold Mountain,Anthony Minghella,6,$261.2,5cbf57ecf1b3f84eb09ba62f
$123.9,$422.8,Lion King,Rob Minkoff,7,$867.2,5cbf57ecf1b3f84eb09ba630
$1.8,$3.1,Hedwig and the Angry Inch,John Cameron Mitchell,4,$7.4,5cbf57ecf1b3f84eb09ba631
$116.9,$238.7,Shrek Forever After,Mike Mitchell,8,$935.3,5cbf57ecf1b3f84eb09ba632
$48.5k,$48.5k,Tales from Earthsea,Goro Miyazaki,1,$48.5k,5cbf57ecf1b3f84eb09ba633
$6.3,$15.7,Ponyo,Hayao Miyazaki,7,$44.4,5cbf57ecf1b3f84eb09ba634
$12.2k,$16.1k,London Boulevard,William Monahan,2,$24.3k,5cbf57ecf1b3f84eb09ba635
$7.3,$8.1,Bella,Alejandro Monteverde,2,$14.6,5cbf57ecf1b3f84eb09ba636
$76.0,$87.0,Sisters,Jason Moore,2,$152.0,5cbf57ecf1b3f84eb09ba637
$48.5,$67.3,A Good Day to Die Hard,John Moore,5,$242.5,5cbf57ecf1b3f84eb09ba638
$19.8,$119.2,Fahrenheit 9/11,Michael Moore,10,$197.6,5cbf57ecf1b3f84eb09ba639
$243.9,$341.3,Zootopia,Rich Moore,3,$731.8,5cbf57ecf1b3f84eb09ba63a
$70.4,$113.3,Bad Moms,Scott Moore,3,$211.1,5cbf57ecf1b3f84eb09ba63b
$43.3,$145.0,Taken,Pierre Morel,5,$216.4,5cbf57ecf1b3f84eb09ba63c
$1.3,$4.2,The Fog of War,Errol Morris,8,$10.1,5cbf57ecf1b3f84eb09ba63d
$38.4,$121.5,Superbad,Greg Mottola,5,$191.9,5cbf57ecf1b3f84eb09ba63e
$750k,$1.1,The Messenger,Oren Moverman,3,$2.2,5cbf57ecf1b3f84eb09ba63f
$49.6,$163.6,The Pursuit of Happyness,Gabriele Muccino,5,$247.9,5cbf57ecf1b3f84eb09ba640
$13.5k,$13.5k,Paper Man,Kieran Mulroney,1,$13.5k,5cbf57ecf1b3f84eb09ba641
$13.5k,$13.5k,Paper Man,Michele Mulroney,1,$13.5k,5cbf57ecf1b3f84eb09ba642
$27.7,$54.1,TMNT,Kevin Munroe,2,$55.3,5cbf57ecf1b3f84eb09ba643
$43.8,$80.6,Eat Pray Love,Ryan Murphy,2,$87.6,5cbf57ecf1b3f84eb09ba644
$58.0,$106.6,300: Rise of An Empire,Noam Murro,2,$116.1,5cbf57ecf1b3f84eb09ba645
$199.6,$327.5,It,Andres Muschietti,2,$399.1,5cbf57ecf1b3f84eb09ba646
$213k,$213k,Supermensch: The Legend of Shep Gordon,Mike Myers,1,$213k,5cbf57ecf1b3f84eb09ba647
$14.0,$14.0,What's Your Number?,Mark Mylod,1,$14.0,5cbf57ecf1b3f84eb09ba648
$8.4,$16.1,Vanity Fair,Mira Nair,10,$83.6,5cbf57ecf1b3f84eb09ba649
