Average,BestPic_Gross,Best_Picture,DirectorName,No_Of_Movies,Total_Gross,_id
$25.6,$80.3,The Dukes of Hazzard,Jay Chandrasekhar,6,$153.6,5cbf57e7f1b3f84eb09ba47c
$169.3,$237.3,Brave,Brenda Chapman,2,$338.7,5cbf57e7f1b3f84eb09ba47d
$52.4,$128.5,Borat,Larry Charles,5,$261.8,5cbf57e7f1b3f84eb09ba47e
$611k,$611k,Not Fade Away,David Chase,1,$611k,5cbf57e7f1b3f84eb09ba47f
$52.3,$151.1,La La Land,Damien Chazelle,4,$209.2,5cbf57e7f1b3f84eb09ba480
$75.1,$132.4,Wonder,Stephen Chbosky,2,$150.2,5cbf57e7f1b3f84eb09ba481
$2.6,$2.6,Miles Ahead,Don Cheadle,1,$2.6,5cbf57e7f1b3f84eb09ba482
$23.4,$79.6,Hannah Montana The Movie,Peter Chelsom,9,$211.0,5cbf57e7f1b3f84eb09ba483
$8.8,$20.8,The Kids Are All Right,Lisa Cholodenko,3,$26.4,5cbf57e7f1b3f84eb09ba484
$4.6,$7.0,The Triplets of Belleville,Sylvain Chomet,2,$9.2,5cbf57e7f1b3f84eb09ba485
$37.3,$37.3,The Roommate,Christian E. Christiansen,1,$37.3,5cbf57e7f1b3f84eb09ba486
$68.0,$174.5,Crazy Rich Asians,Jon Chu,8,$544.0,5cbf57e7f1b3f84eb09ba487
$14.6,$21.4,The Place Beyond the Pines,Derek Cianfrance,3,$43.7,5cbf57e7f1b3f84eb09ba488
$14.4,$49.0,The Deer Hunter,Michael Cimino,7,$101.0,5cbf57e7f1b3f84eb09ba489
$34.0,$78.0,The Monuments Men,George Clooney,6,$203.7,5cbf57e7f1b3f84eb09ba48a
$50.3,$171.2,True Grit,Ethan Coen,8,$402.5,5cbf57e7f1b3f84eb09ba48b
$31.9,$171.2,True Grit,Joel Coen,18,$574.2,5cbf57e7f1b3f84eb09ba48c
$305.1,$368.1,Despicable Me 2,Pierre Coffin,4,"$1,220.2",5cbf57e7f1b3f84eb09ba48d
$25.6,$25.6,The House,Andrew J. Cohen,1,$25.6,5cbf57e7f1b3f84eb09ba48e
$60.5,$90.4,Get Hard,Etan Cohen,2,$121.0,5cbf57e7f1b3f84eb09ba48f
$49.6,$144.5,Fast and the Furious,Rob Cohen,13,$644.5,5cbf57e7f1b3f84eb09ba490
$43.5,$92.2,Non-Stop,Jaume Collet-Serra,8,$347.7,5cbf57e7f1b3f84eb09ba491
$116.7,$317.9,Harry Potter / Sorcerer's Stone,Chris Columbus,15,"$1,750.8",5cbf57e7f1b3f84eb09ba492
$137.0,$504.0,Beauty and the Beast,Bill Condon,9,"$1,232.6",5cbf57e7f1b3f84eb09ba493
$409k,$409k,The Promotion,Steve Conrad,1,$409k,5cbf57e7f1b3f84eb09ba494
$275.3,$700.1,Black Panther,Ryan Coogler,3,$825.9,5cbf57e7f1b3f84eb09ba495
$78.3,$120.6,Mulan,Barry Cook,2,$156.7,5cbf57e7f1b3f84eb09ba496
$28.4,$28.4,Employee of the Month,Greg Coolidge,1,$28.4,5cbf57e7f1b3f84eb09ba497
$12.3,$29.0,Out to Sea,Martha Coolidge,11,$135.7,5cbf57e7f1b3f84eb09ba498
$215.3,$215.3,A Star is Born,Bradley Cooper,1,$215.3,5cbf57e7f1b3f84eb09ba499
$35.8,$62.6,Black Mass,Scott Cooper,4,$143.2,5cbf57e7f1b3f84eb09ba49a
$42.6,$135.0,The Godfather,Francis Ford Coppola,17,$723.8,5cbf57e7f1b3f84eb09ba49b
$230k,$414k,CQ,Roman Coppola,2,$460k,5cbf57e7f1b3f84eb09ba49c
$14.0,$44.6,Lost in Translation,Sofia Coppola,6,$83.8,5cbf57e7f1b3f84eb09ba49d
$82.1,$161.5,Waterboy,Frank Coraci,7,$575.0,5cbf57e7f1b3f84eb09ba49e
$17.9,$35.6,The American,Anton Corbijn,3,$53.7,5cbf57e7f1b3f84eb09ba49f
$8.9,$16.8,The Kid Who Would be King,Joe Cornish,2,$17.8,5cbf57e7f1b3f84eb09ba4a0
$548k,$1.0,Buried,Rodrigo Cortes,2,$1.1,5cbf57e7f1b3f84eb09ba4a1
$87.1,$184.2,Dances with Wolves,Kevin Costner,4,$348.4,5cbf57e7f1b3f84eb09ba4a2
$16.7,$19.1,Remember Me,Allen Coulter,2,$33.5,5cbf57e7f1b3f84eb09ba4a3
$11.0k,$11.0k,Just Before I Go,Courteney Cox,1,$11.0k,5cbf57e7f1b3f84eb09ba4a4
$36.2,$103.0,Scream,Wes Craven,16,$579.5,5cbf57e7f1b3f84eb09ba4a5
$1.1,$2.3,Collide,Eran Creevy,2,$2.3,5cbf57e7f1b3f84eb09ba4a6
$50.0,$154.0,Jerry Maguire,Cameron Crowe,9,$450.4,5cbf57e7f1b3f84eb09ba4a7
$4.2,$4.2,The Water Diviner,Russell Crowe,1,$4.2,5cbf57e7f1b3f84eb09ba4a8
$9.4,$38.3,Brooklyn,John Crowley,5,$47.1,5cbf57e7f1b3f84eb09ba4a9
$87.1,$274.1,Gravity,Alfonso Cuaron,7,$609.7,5cbf57e7f1b3f84eb09ba4aa
$2.0,$2.0,Desierto,Jonas Cuaron,1,$2.0,5cbf57e7f1b3f84eb09ba4ab
$23.0,$23.0,Players Club,Ice Cube,1,$23.0,5cbf57e7f1b3f84eb09ba4ac
$8.0,$36.2,American Assassin,Michael Cuesta,5,$39.9,5cbf57e7f1b3f84eb09ba4ad
$5.0,$17.4,Chappaquiddick,John Curran,6,$29.8,5cbf57e7f1b3f84eb09ba4ae
$27.1,$50.5,If I Stay,R.J. Cutler,2,$54.3,5cbf57e7f1b3f84eb09ba4af
$16.7,$33.4,2016 Obama's America,Dinesh D'Souza,4,$66.9,5cbf57e7f1b3f84eb09ba4b0
$8.6,$22.9,Rounders,John Dahl,8,$68.9,5cbf57e7f1b3f84eb09ba4b1
$25.9,$41.7,The Hours,Stephen Daldry,5,$129.7,5cbf57e7f1b3f84eb09ba4b2
$41.3,$116.6,The Butler,Lee Daniels,4,$165.3,5cbf57e7f1b3f84eb09ba4b3
$1.0,$1.0,Wildlife,Paul Dano,1,$1.0,5cbf57e7f1b3f84eb09ba4b4
$54.6,$136.8,Green Mile,Frank Darabont,4,$218.5,5cbf57e7f1b3f84eb09ba4b5
$152.8,$216.4,Madagascar 3,Eric Darnell,5,$764.1,5cbf57e7f1b3f84eb09ba4b6
$52.0,$183.9,The Fugitive,Andrew Davis,11,$571.8,5cbf57e7f1b3f84eb09ba4b7
$25.0,$59.9,Little Miss Sunshine,Jonathan Dayton,3,$75.1,5cbf57e7f1b3f84eb09ba4b8
$108.6,$187.2,The Croods,Kirk De Micco,2,$217.3,5cbf57e7f1b3f84eb09ba4b9
$35.3,$181.0,Mission: Impossible,Brian De Palma,18,$636.1,5cbf57e7f1b3f84eb09ba4ba
$174.9,$217.6,How to Train Your Dragon,Dean DeBlois,4,$699.5,5cbf57e7f1b3f84eb09ba4bb
$113.7,$241.7,Twister,Jan DeBont,5,$568.6,5cbf57e7f1b3f84eb09ba4bc
$590k,$1.7,Every Little Step,Adam Del Deo,3,$1.8,5cbf57e7f1b3f84eb09ba4bd
$47.9,$101.8,Pacific Rim,Guillermo del Toro,10,$479.2,5cbf57e7f1b3f84eb09ba4be
$18.2,$20.4,Brick Mansions,Camille Delamarre,2,$36.4,5cbf57e7f1b3f84eb09ba4bf
$1.7,$4.4,2 Days in Paris,Julie Delpy,3,$5.1,5cbf57e7f1b3f84eb09ba4c0
$19.6,$130.7,Silence of the Lambs,Jonathan Demme,20,$391.9,5cbf57e7f1b3f84eb09ba4c1
$68.2,$72.0,The Purge: Anarchy,James DeMonaco,2,$136.4,5cbf57e7f1b3f84eb09ba4c2
$964k,$2.3,Chocolat (1989),Claire Denis,4,$3.9,5cbf57e7f1b3f84eb09ba4c3
$93.1,$232.6,Doctor Strange,Scott Derrickson,5,$465.7,5cbf57e7f1b3f84eb09ba4c4
$36.8,$86.9,The War of the Roses,Danny DeVito,6,$220.6,5cbf57e7f1b3f84eb09ba4c5
$18.6,$33.7,Geostorm,Dean Devlin,2,$37.1,5cbf57e7f1b3f84eb09ba4c6
$54.3,$88.7,Failure to Launch,Tom Dey,4,$217.4,5cbf57e7f1b3f84eb09ba4c7
$11.7,$11.7,Gone,Heitor Dhalia,1,$11.7,5cbf57e7f1b3f84eb09ba4c8
$919k,$919k,Singh is Bling,Prabhu Dheva,1,$919k,5cbf57e7f1b3f84eb09ba4c9
$11.4,$11.4,Unforgettable,Denise Di Novi,1,$11.4,5cbf57e7f1b3f84eb09ba4ca
$431k,$1.1,Living in Oblivion,Tom DiCillo,5,$2.2,5cbf57e7f1b3f84eb09ba4cb
$166k,$307k,This Film Is Not Yet Rated,Kirby Dick,5,$831k,5cbf57e7f1b3f84eb09ba4cc
$13.9,$21.6,Bulletproof,Ernest R. Dickerson,6,$83.5,5cbf57e7f1b3f84eb09ba4cd
$71.3,$209.3,Wedding Crashers,David Dobkin,6,$427.7,5cbf57e7f1b3f84eb09ba4ce
$313.1,$356.5,Inside Out,Pete Docter,3,$939.4,5cbf57e7f1b3f84eb09ba4cf
$1.8,$3.5,Mommy,Xavier Dolan,2,$3.6,5cbf57e7f1b3f84eb09ba4d0
$6.4,$15.0,Killing Them Softly,Andrew Dominik,3,$19.2,5cbf57e7f1b3f84eb09ba4d1
$30.2,$78.2,Cocktail,Roger Donaldson,15,$452.8,5cbf57e7f1b3f84eb09ba4d2
$71.2,$147.3,Lethal Weapon 2,Richard Donner,16,"$1,139.3",5cbf57e7f1b3f84eb09ba4d3
$42.7,$42.7,Krampus,Michael Dougherty,1,$42.7,5cbf57e7f1b3f84eb09ba4d4
$33.6,$33.6,Devil,Drew Dowdle,1,$33.6,5cbf57e7f1b3f84eb09ba4d5
$28.5,$33.6,Devil,John Erick Dowdle,4,$113.9,5cbf57e7f1b3f84eb09ba4d6
$3.5,$6.9,Take Me Home Tonight,Michael Dowse,3,$10.5,5cbf57e7f1b3f84eb09ba4d7
$6.9k,$6.9k,Hungry Hearts,Adam Driver,1,$6.9k,5cbf57e7f1b3f84eb09ba4d8
$38.7,$49.8,Racing Stripes,Frederik Du Chau,3,$116.0,5cbf57e7f1b3f84eb09ba4d9
$36.1,$49.8,Racing Stripes,Frederik Du Chou,2,$72.3,5cbf57e7f1b3f84eb09ba4da
$389k,$389k,House of D,David Duchovny,1,$389k,5cbf57e7f1b3f84eb09ba4db
$78.3,$163.5,Big Daddy,Dennis Dugan,14,"$1,096.7",5cbf57e7f1b3f84eb09ba4dc
$17.8,$57.3,Sister Act 2: Back in the Habit,Bill Duke,7,$124.6,5cbf57e7f1b3f84eb09ba4dd
$7.3,$7.7,The Collector,Marcus Dunstan,2,$14.6,5cbf57e7f1b3f84eb09ba4de
$2.4,$7.5,Cyrus,Jay Duplass,5,$12.1,5cbf57e7f1b3f84eb09ba4df
$3.0,$7.5,Cyrus,Mark Duplass,4,$11.9,5cbf57e7f1b3f84eb09ba4e0
$10.4,$19.9,The Apostle,Robert Duvall,2,$20.9,5cbf57e7f1b3f84eb09ba4e1
$38.2,$100.5,A Wrinkle in Time,Ava DuVernay,4,$152.9,5cbf57e7f1b3f84eb09ba4e2
$54.3,$350.1,American Sniper,Clint Eastwood,36,"$1,956.1",5cbf57e7f1b3f84eb09ba4e3
$244.4,$532.2,Rogue One,Gareth Edwards,3,$733.1,5cbf57e7f1b3f84eb09ba4e4
$1.4,$3.1,Chloe,Atom Egoyan,5,$6.8,5cbf57e7f1b3f84eb09ba4e5
$36.0k,$36.0k,Yardie,Idris Elba,1,$36.0k,5cbf57e7f1b3f84eb09ba4e6
$7.6,$16.5,Eye of the Beholder,Stephan Elliot,4,$30.4,5cbf57e7f1b3f84eb09ba4e7
$38.5,$66.5,The Final Destination,David R. Ellis,6,$231.1,5cbf57e7f1b3f84eb09ba4e8
$107.7,$306.2,Independence Day,Roland Emmerich,12,"$1,292.2",5cbf57e7f1b3f84eb09ba4e9
$64.4,$126.8,Sleepless in Seattle,Nora Ephron,8,$515.2,5cbf57e7f1b3f84eb09ba4ea
$28.4,$83.5,I Can Only Imagine,Andrew Erwin,4,$113.7,5cbf57e7f1b3f84eb09ba4eb
$28.4,$83.5,I Can Only Imagine,Jon Erwin,4,$113.7,5cbf57e7f1b3f84eb09ba4ec
$39.5,$126.4,Safe House,Daniel Espinosa,4,$158.0,5cbf57e7f1b3f84eb09ba4ed
$334k,$604k,Mean Creek,Jacob Aaron Estes,2,$668k,5cbf57e7f1b3f84eb09ba4ee
$24.8,$28.5,Mr. Brooks,Bruce A. Evans,2,$49.7,5cbf57e7f1b3f84eb09ba4ef
$37.2k,$37.2k,Before We Go,Chris Evans,1,$37.2k,5cbf57e7f1b3f84eb09ba4f0
$3.4,$4.1,The Raid: Redemption,Gareth Evans,2,$6.7,5cbf57e7f1b3f84eb09ba4f1
$2.4,$2.7,The Good Lie,Philippe Falardeau,2,$4.7,5cbf57e7f1b3f84eb09ba4f2
$24.2,$27.4,Brown Sugar,Rick Famuyiwa,3,$72.7,5cbf57e7f1b3f84eb09ba4f3
$25.0,$59.9,Little Miss Sunshine,Valerie Faris,3,$75.1,5cbf57e7f1b3f84eb09ba4f4
$842k,$842k,Higher Ground,Vera Farmiga,1,$842k,5cbf57e7f1b3f84eb09ba4f5
$66.0,$176.5,Something About Mary,The Farrelly Bros.,12,$792.0,5cbf57e7f1b3f84eb09ba4f6
$166.9,$364.0,The Jungle Book,Jon Favreau,8,"$1,334.9",5cbf57e7f1b3f84eb09ba4f7
$106.3,$169.1,Bridesmaids,Paul Feig,6,$638.1,5cbf57e7f1b3f84eb09ba4f8
$57.2,$64.7,Flushed Away,Sam Fell,3,$171.5,5cbf57e7f1b3f84eb09ba4f9
$924k,$924k,Separate Lies,Julian Fellowes,1,$924k,5cbf57e7f1b3f84eb09ba4fa
$1.9,$4.3,Inside Job,Charles Ferguson,3,$5.8,5cbf57e7f1b3f84eb09ba4fb
$14.6,$23.4,Endless Love,Shana Feste,3,$43.8,5cbf57e7f1b3f84eb09ba4fc
$40.8,$84.4,"Crazy, Stupid, Love.",Glenn Ficarra,4,$163.3,5cbf57e7f1b3f84eb09ba4fd
$60.9,$90.6,The Game Plan,Andy Fickman,6,$365.6,5cbf57e7f1b3f84eb09ba4fe
$20.7,$35.9,In the Bedroom,Todd Field,2,$41.4,5cbf57e7f1b3f84eb09ba4ff
$996k,$1.2,The Invisible Woman,Ralph Fiennes,2,$2.0,5cbf57e7f1b3f84eb09ba500
$86.5,$167.8,Gone Girl,David Fincher,10,$865.2,5cbf57e7f1b3f84eb09ba501
$36.5,$50.9,Road to El Dorado,Will Finn,3,$109.4,5cbf57e7f1b3f84eb09ba502
$31.4,$35.1,Ouija 2,Mike Flanagan,2,$62.8,5cbf57e7f1b3f84eb09ba503
$82.1,$400.0,Captain Marvel,Ryan Fleck,5,$410.3,5cbf57e7f1b3f84eb09ba504
$93.0,$213.5,Venom,Ruben Fleischer,4,$372.2,5cbf57e7f1b3f84eb09ba505
$15.2,$25.6,Nancy Drew,Andrew Fleming,7,$106.6,5cbf57e7f1b3f84eb09ba506
$75.6,$164.0,The Proposal,Anne Fletcher,5,$377.8,5cbf57e7f1b3f84eb09ba507
$17.2k,$17.2k,Violet & Daisy,Geoffrey Fletcher,1,$17.2k,5cbf57e7f1b3f84eb09ba508
$4.9,$5.6,Danny Collins,Dan Fogelman,2,$9.7,5cbf57e7f1b3f84eb09ba509
$25.6,$114.6,Fifty Shades Darker,James Foley,13,$333.1,5cbf57e7f1b3f84eb09ba50a
$9.9,$10.7,Nocturnal Animals,Tom Ford,2,$19.8,5cbf57e7f1b3f84eb09ba50b
$61.4,$202.4,World War Z,Marc Forster,10,$613.7,5cbf57e7f1b3f84eb09ba50c
$21.1,$41.0,Money Monster,Jodie Foster,4,$84.5,5cbf57e7f1b3f84eb09ba50d
$4.2,$21.1,The Disaster Artist,James Franco,5,$21.2,5cbf57e7f1b3f84eb09ba50e
$15.5,$26.3,A Walk Among the Tombstones,Scott Frank,2,$30.9,5cbf57e7f1b3f84eb09ba50f
$53.6,$143.2,Marley and Me,David Frankel,7,$375.0,5cbf57e7f1b3f84eb09ba510
$24.3,$41.5,High Crimes,Carl Franklin,6,$145.8,5cbf57e7f1b3f84eb09ba511
$12.1,$56.4,The Queen,Stephen Frears,23,$278.3,5cbf57e7f1b3f84eb09ba512
$9.7,$28.6,28 Weeks Later,Juan Carlos Fresnadillo,3,$29.0,5cbf57e7f1b3f84eb09ba513
$68.5,$73.0,Hotel for Dogs,Thor Freudenthal,3,$205.6,5cbf57e7f1b3f84eb09ba514
$32.2,$39.7,Epic Movie,Jason Friedberg,4,$128.8,5cbf57e7f1b3f84eb09ba515
$31.0,$232.9,The Exorcist,William Friedkin,16,$495.4,5cbf57e7f1b3f84eb09ba516
$4.6,$11.2,Jane Eyre,Cary Fukunaga,3,$13.9,5cbf57e7f1b3f84eb09ba517
$56.1,$102.1,The Equalizer 2,Antoine Fuqua,13,$729.5,5cbf57e7f1b3f84eb09ba518
$30.9,$58.0,The Lincoln Lawyer,Brad Furman,3,$92.8,5cbf57e7f1b3f84eb09ba519
$22.9,$50.8,Syriana,Stephen Gaghan,3,$68.8,5cbf57e7f1b3f84eb09ba51a
$5.9,$29.8,Double Take,George Gallo,7,$41.1,5cbf57e7f1b3f84eb09ba51b
$1.4,$2.4,Buffalo '66,Vincent Gallo,2,$2.7,5cbf57e7f1b3f84eb09ba51c
$29.1,$47.0,Silent Hill,Christophe Gans,2,$58.2,5cbf57e7f1b3f84eb09ba51d
$64.5,$64.5,The Wedding Ringer,Jeremy Garelick,1,$64.5,5cbf57e7f1b3f84eb09ba51e
$29.1,$32.7,Annihilation,Alex Garland,2,$58.2,5cbf57e7f1b3f84eb09ba51f
$7.6,$15.2,The Last Exorcism Part II,Ed Gass-Donnelly,2,$15.2,5cbf57e7f1b3f84eb09ba520
$14.2,$25.8,The Lazarus Effect,David Gelb,2,$28.4,5cbf57e7f1b3f84eb09ba521
$18.5,$18.5,The Invention of Lying,Ricky Gervais,1,$18.5,5cbf57e7f1b3f84eb09ba522
$3.3,$6.0,Hitchcock,Sacha Gervasi,2,$6.7,5cbf57e7f1b3f84eb09ba523
$24.5,$49.0,Lady Bird,Greta Gerwig,2,$49.0,5cbf57e7f1b3f84eb09ba524
$117.8,$370.8,Passion of the Christ,Mel Gibson,5,$589.2,5cbf57e7f1b3f84eb09ba525
$4.1k,$4.1k,The Party's Just Beginning,Karen Gillan,1,$4.1k,5cbf57e7f1b3f84eb09ba526
$24.0,$36.5,Million Dollar Arm,Craig Gillespie,6,$144.1,5cbf57e7f1b3f84eb09ba527
$19.7,$57.1,12 Monkeys,Terry Gilliam,11,$216.4,5cbf57e7f1b3f84eb09ba528
$22.2,$32.4,Nightcrawler,Dan Gilroy,2,$44.3,5cbf57e7f1b3f84eb09ba529
$67.6,$113.2,The Bourne Legacy,Tony Gilroy,3,$202.8,5cbf57e7f1b3f84eb09ba52a
$5.3,$18.8,Still Alice,Richard Glatzer,4,$21.3,5cbf57e7f1b3f84eb09ba52b
$66.5,$115.3,Peter Rabbit,Will Gluck,5,$332.6,5cbf57e7f1b3f84eb09ba52c
$30.0,$42.1,The Cabin in the Woods,Drew Goddard,2,$59.9,5cbf57e7f1b3f84eb09ba52d
$53.8,$101.5,This is the End,Evan Goldberg,2,$107.6,5cbf57e7f1b3f84eb09ba52e
$19.0,$19.0,Bed of Roses,Michael Goldenberg,1,$19.0,5cbf57e7f1b3f84eb09ba52f
